Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
armyworms,Paused,campaign paused; paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
armyworms,Paused,campaign paused; paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,334,"3,152",10.60%,1.01,336.14,25.65%,38.29%,2.00,0,168.07,0.60%,106.64
at pest control,Not eligible,campaign paused,Broad match,BPM - Rats & Mice,Rats & Mice,USD,0.01,4,115,3.48%,16.04,64.16,50.94%,83.02%,0.50,0,128.32,12.50%,557.91
at rest pest solutions,Paused,campaign paused; paused,Phrase match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
at rest pest solutions,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,1,1,100.00%,15.16,15.16,100.00%,100.00%,0.00,0,0,0.00%,15160.00
average cost of mosquito control,Not eligible,campaign paused,Broad match,BPM - Mosquitos,Mosquito Removal,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
average cost of mosquito control,Not eligible,campaign paused,Broad match,Priority Pest,Mosquito Removal,USD,0.01,0,7,0.00%,0,0.00,0.00%,80.00%,0.00,0,0,0,0.00
average cost of termite damage,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
average cost of termite damage,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termites,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
average cost of termite treatment,Not eligible,campaign paused,Broad match,BPM - Termites,Termites,USD,0.01,1,5,20.00%,11.59,11.59,0.00%,80.00%,0.00,0,0,0.00%,2318.00
average cost of termite treatment,Not eligible,campaign paused; ad group paused; low quality,Broad match,Priority Pest,Termites,USD,0.01,0,27,0.00%,0,0.00,4.55%,63.64%,0.00,0,0,0,0.00
aztec pest control,Paused,campaign paused; ad group removed; paused,Broad match,BPM - Commercial,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
aztec pest control,Paused,campaign paused; ad group paused; paused,Broad match,BPM - Residential,Insects,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
aztec pest control,Removed,campaign paused; removed,Broad match,Priority Pest,Insects,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
baby bed bugs,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Bed Bugs,USD,0,0,7,0.00%,0,0.00,28.57%,100.00%,0.00,0,0,0,0.00
baby bed bugs,Limited,low quality,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,13,167,7.78%,4.50,58.45,43.70%,74.79%,0.00,0,0,0.00%,350.00
baby bed bugs,Not eligible,campaign paused; ad group paused; low quality,Broad match,Priority Pest,Bed Bugs,USD,0.01,2,31,6.45%,1.03,2.05,44.00%,92.00%,0.00,0,0,0.00%,66.13
baby roach,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Cockroaches,USD,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0
backyard bug control,Not eligible,campaign paused,Broad match,Priority Pest,Mosquito Removal,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
backyard mosquito control,Removed,campaign paused; removed,Broad match,Priority Pest,Mosquito Removal,USD,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0
backyard mosquito control,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
bald faced hornet,Removed,campaign paused; ad group paused; removed,Broad match,Priority Pest,Wasp & Hornet,USD,0,0,5,0.00%,0,0.00,50.00%,75.00%,0.00,0,0,0,0.00
bald faced hornet nest removal,Not eligible,campaign paused; ad group paused,Broad match,BPM - Wasp & Hornet,Wasp & Hornet,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
bald faced hornet nest removal,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Wasp & Hornet,USD,0.01,0,6,0.00%,0,0.00,0.00%,33.33%,0.00,0,0,0,0.00
banana spider,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
bed beds,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,27,267,10.11%,1.07,28.85,0,0,1.00,0,28.85,3.70%,108.05
